,High School,# of SAT Takers in 2014,Avg SAT Critical Reading Score in 2014,Avg SAT Math Scores in 2014,Avg SAT Writing Scores in 2014
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,26,358,387,349
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,58,367,405,360
01M450,EAST SIDE COMMUNITY SCHOOL,82,424,426,422
01M458,FORSYTH SATELLITE ACADEMY,10,397,349,375
01M509,MARTA VALLE HIGH SCHOOL,28,401,420,369
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,103,329,525,330
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",104,567,601,552
01M650,CASCADES HIGH SCHOOL,28,438,396,411
01M696,BARD HIGH SCHOOL EARLY COLLEGE,117,649,628,638
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,23,420,393,394
02M288,FOOD AND FINANCE HIGH SCHOOL,61,389,373,370
02M294,ESSEX STREET ACADEMY,54,403,376,387
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,51,384,384,377
02M298,PACE HIGH SCHOOL,86,438,453,442
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",69,423,428,399
02M303,"FACING HISTORY SCHOOL, THE",61,360,355,346
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",46,389,382,387
02M308,LOWER MANHATTAN ARTS ACADEMY,51,394,414,399
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",47,404,390,387
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",67,424,411,419
02M374,GRAMERCY ARTS HIGH SCHOOL,87,427,412,408
02M376,NYC ISCHOOL,91,496,504,490
02M392,MANHATTAN BUSINESS ACADEMY,48,409,411,400
02M393,BUSINESS OF SPORTS SCHOOL,69,377,379,376
