SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,LOCATION OF BUILDING ON THE LOT (IF GARAGE CHANGE TYPE CODE TO BGD).,IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,IF THE BUILDING IS OPEN WHERE IS THE ENTRY POINT?,IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,ANY PEOPLE USING PROPERTY? (HOMELESS or CHILDEN or GANGS),ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,15-02658221,06/12/2015,Front,,Open,FRONT,Vacant,false,true,6611,S,HALSTED,ST,60621,1172108.1278027,1860979.20993102,6,7,68,41.77397447210011,-87.6446363391006,"(41.77397447210011, -87.6446363391006)"
Vacant/Abandoned Building,15-02660296,06/12/2015,Front,,Open,FRONT AND REAR DOOR,Vacant,false,true,10207,S,PERRY,AVE,60628,1177398.77797773,1837282.11721539,9,5,49,41.708828846235726,-87.62595602753132,"(41.708828846235726, -87.62595602753132)"
Vacant/Abandoned Building,15-02664014,06/12/2015,Front,,Open,BACK DOOR,Vacant,false,true,11235,S,EGGLESTON,AVE,60628,1175297.33742545,1830402.65658197,34,22,49,41.68999770616935,-87.63385627833848,"(41.68999770616935, -87.63385627833848)"
Vacant/Abandoned Building,15-02664457,06/12/2015,,,,,,,,1426,S,RIDGEWAY,AVE,60623,1151610.19360333,1892838.53009628,24,10,29,41.861826705431184,-87.71894327341037,"(41.861826705431184, -87.71894327341037)"
Vacant/Abandoned Building,15-02662142,06/12/2015,Front,,Open,BOARDED JUST IN REAR - FILLED WITH WEEDS,Vacant,false,false,9122,S,WOODLAWN,AVE,60619,1185804.93997973,1844742.53998662,8,4,47,41.72910748359699,-87.5949378583769,"(41.72910748359699, -87.5949378583769)"
Vacant/Abandoned Building,15-02661910,06/12/2015,,,,,,,,3613,W,58TH,ST,60629,1153228.44878033,1865911.49771851,23,8,62,41.7879034599658,-87.71371575117482,"(41.7879034599658, -87.71371575117482)"
Vacant/Abandoned Building,15-02665010,06/12/2015,Front,,Open,WINDOWS ARE NOT BOARDED,Vacant,false,true,7306,S,PAULINA,ST,60636,1166277.20120637,1856254.27101043,17,7,67,41.76113475668387,-87.66614573491282,"(41.76113475668387, -87.66614573491282)"
Vacant/Abandoned Building,15-02668397,06/12/2015,Front,,Open,,Vacant,false,false,8106,S,KINGSTON,AVE,60617,1194588.64351769,1851716.55158812,7,4,46,41.74803348863574,-87.5625327367461,"(41.74803348863574, -87.5625327367461)"
Vacant/Abandoned Building,15-02665631,06/12/2015,Rear,,Open,REAR,Vacant,false,true,5227,S,CARPENTER,ST,60609,1170200.78331295,1870146.21707998,20,9,61,41.79917150384515,-87.65136173319387,"(41.79917150384515, -87.65136173319387)"
Vacant/Abandoned Building,15-02661197,06/12/2015,Front,,Open,FRONT,Vacant,false,true,2150,W,71ST,PL,60636,1163599.3299667,1857230.48997934,17,7,67,41.763870214599464,-87.67593301362936,"(41.763870214599464, -87.67593301362936)"
Vacant/Abandoned Building,15-02663528,06/12/2015,Front,,Open,A HAZARD,Vacant,false,false,4435,N,DRAKE,AVE,60625,1151924.4839071,1929246.94382166,35,17,14,41.96172855386839,-87.7168289038954,"(41.96172855386839, -87.7168289038954)"
Vacant/Abandoned Building,15-02658979,06/12/2015,Front,,Boarded,,Vacant,false,false,4340,W,47TH,ST,60632,1148066.27032568,1873110.28521543,14,8,57,41.807758571598505,-87.73245912896532,"(41.807758571598505, -87.73245912896532)"
Vacant/Abandoned Building,15-02669101,06/12/2015,Front,,Boarded,,Vacant,false,false,10458,S,STATE,ST,60628,1178106.93673194,1835386.23990304,34,5,49,41.70361030410902,-87.62341993358032,"(41.70361030410902, -87.62341993358032)"
Vacant/Abandoned Building,15-02663054,06/12/2015,Front,,Open,ALL AROUND,Vacant,false,true,8731,S,WABASH,AVE,60619,1178236.82038827,1847119.60017397,9,6,44,41.73580524554704,-87.6225896241143,"(41.73580524554704, -87.6225896241143)"
Vacant/Abandoned Building,15-02662531,06/12/2015,Front,,Open,"FRONT/REAR DOORS, WINDOWS",Vacant,false,true,8732,S,WABASH,AVE,60619,1178237.02038827,1847112.90017397,9,6,44,41.73578685538771,-87.62258909410231,"(41.73578685538771, -87.62258909410231)"
